account_id,device_id,device_risk_seed
acct_c571e563fd,dev_9d660ecdfa,0.9444808563227473
acct_ef1e07bd37,dev_65b898b38c,0.20773073536958164
acct_2bdd5c8a37,dev_146afaed37,0.6828946559486451
acct_1bc92bc714,dev_8061c6ae54,0.12829142437711005
acct_2819ce2c12,dev_fcd3765956,0.20959644832677649
acct_e9aa17aa55,dev_3889a5aac1,0.45094964888337064
acct_1b9b40b573,dev_d4e729482f,0.5730961413415162
acct_681f38933e,dev_cb096e3a68,0.998863240391683
acct_6495871609,dev_3a27409457,0.025926228090944137
acct_9e7f11c7e6,dev_1ed0b99aeb,0.00031441964408696066
acct_4d4a2e5e19,dev_b334119cf0,0.350367094714948
acct_9e5b8f3b02,dev_2429883f8c,0.3661563678024199
acct_5de772a288,dev_8f4f9f7ff0,0.8838372360986316
acct_046f292605,dev_92467414c2,0.912582547697302
acct_ffb4beb9d5,dev_61776f22a8,0.8805249763593188
acct_2dbd228db3,dev_4ff92a5bd5,0.14317875048604778
acct_1d510c72df,dev_97fa5ce82e,0.41210483518107344
acct_eb35108bff,dev_961cd43462,0.7458851622950232
acct_e0d3b48711,dev_022653ba66,0.3126110677842414
acct_37397931bd,dev_4d9e9cbba6,0.6632380285105512
acct_f2eda68383,dev_96593f5a13,0.237142863191092
acct_f6a53708e6,dev_59c2a85b89,0.32341925796080806
acct_4454d8a0bb,dev_8be747aff4,0.8604296493484839
acct_f30426f805,dev_39a724b0b0,0.2505090360889951
acct_2d1888da4f,dev_35cda14602,0.9643240868848629
acct_1ee6f50198,dev_67e6c2b39e,0.3062595609368469
acct_acccf38da2,dev_105d034b9d,0.023528109823277354
acct_8c85351238,dev_f91b11f0e0,0.25490090380257047
acct_9ca5bb88fa,dev_e00cc7f059,0.17120494224342575
acct_1ad9667ac0,dev_57459436b8,0.5068269662175497
acct_4158fb8387,dev_ed4fb89cea,0.11271606632786002
acct_c0c8fa9ed9,dev_10d1f7b457,0.6260488772454097
